Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
AGNFRAC,ECO00001,0.00000,-inf,0.16327,-inf,0.30612,Y,Y,Y,N,0.32994,0.00010,N,N,1,0
LOGQ,ECO00001,7.26271,7.11986,7.51271,-inf,7.86986,Y,Y,N,N,0.06507,0.00003,N,N,1,8
LOGZ,ECO00001,0.23564,-0.02592,0.26833,-0.25479,inf,Y,Y,N,Y,0.00000,0.20752,N,N,2,47
AGNFRAC,ECO00001,0.00000,-inf,0.16327,-inf,0.30612,Y,Y,Y,N,0.32994,0.00010,N,N,1,0
LOGQ,ECO00001,7.26271,7.11986,7.51271,-inf,7.86986,Y,Y,N,N,0.06507,0.00003,N,N,1,8
LOGZ,ECO00001,0.23564,-0.02592,0.26833,-0.25479,inf,Y,Y,N,Y,0.00000,0.20752,N,N,2,47
AGNFRAC,ECO00001,0.00000,-inf,0.16327,-inf,0.30612,Y,Y,Y,N,0.32994,0.00010,N,N,1,0
LOGQ,ECO00001,7.26271,7.11986,7.51271,-inf,7.86986,Y,Y,N,N,0.06507,0.00003,N,N,1,8
LOGZ,ECO00001,0.23564,-0.02592,0.26833,-0.25479,inf,Y,Y,N,Y,0.00000,0.20752,N,N,2,47
AGNFRAC,ECO00001,0.00000,-inf,0.16327,-inf,0.30612,Y,Y,Y,N,0.32994,0.00010,N,N,1,0
LOGQ,ECO00001,7.26271,7.11986,7.51271,-inf,7.86986,Y,Y,N,N,0.06507,0.00003,N,N,1,8
LOGZ,ECO00001,0.23564,-0.02592,0.26833,-0.25479,inf,Y,Y,N,Y,0.00000,0.20752,N,N,2,47
